match_id,encounter_id,轮次,赢家,输家,赢家得分,输家得分,p1,p2,s1,s2
B组(主赛程),495,8进4淘汰赛,廖*辰,贾*翔,3,0,贾*翔,廖*辰,0,3
B组(主赛程),494,8进4淘汰赛,赵*,杨*,3,1,杨*,赵*,1,3
B组(主赛程),493,8进4淘汰赛,周*,罗*,3,0,罗*,周*,0,3
B组(主赛程),492,8进4淘汰赛,冷*,宋*蔓,3,1,冷*,宋*蔓,3,1
B组(主赛程),509,半决赛,赵*,廖*辰,3,0,赵*,廖*辰,3,0
B组(主赛程),508,半决赛,冷*,周*,3,1,冷*,周*,3,1
A组(主赛程: 1-4名),465,8进4淘汰赛,罗*琪,许*耕,3,0,罗*琪,许*耕,3,0
A组(主赛程: 1-4名),464,8进4淘汰赛,任*青,刘*霞,3,0,任*青,刘*霞,3,0
A组(主赛程: 1-4名),463,8进4淘汰赛,李*艺,冷*,3,0,李*艺,冷*,3,0
A组(主赛程: 1-4名),462,8进4淘汰赛,罗*,黄*,3,2,罗*,黄*,3,2
A组(排位赛: 9-12名),470,9-12名排位赛,陈*,赵*,3,1,赵*,陈*,1,3
A组(排位赛: 9-12名),469,9-12名排位赛,郭*,贾*翔,3,2,贾*翔,郭*,2,3
A组(排位赛: 13-16名),473,13-16名排位赛,刘*玉,杨*,3,0,刘*玉,杨*,3,0
A组(排位赛: 13-16名),472,13-16名排位赛,史*,宋*蔓,3,0,宋*蔓,史*,0,3
A组(排位赛: 17-19名),477,17-19名排位赛,廖*辰,周*照,3,2,周*照,廖*辰,2,3
A组(排位赛: 17-19名),476,17-19名排位赛,周*照,周*,3,2,周*照,周*,3,2
A组(排位赛: 17-19名),475,17-19名排位赛,廖*辰,周*,3,2,廖*辰,周*,3,2
A组(排位赛: 13-16名),486,13-14名排位赛,刘*玉,史*,3,1,刘*玉,史*,3,1
A组(排位赛: 13-16名),487,15-16名排位赛,杨*,宋*蔓,3,0,杨*,宋*蔓,3,0
A组(排位赛: 9-12名),485,11-12名排位赛,贾*翔,赵*,3,0,赵*,贾*翔,0,3
A组(排位赛: 9-12名),484,9-10名排位赛,郭*,陈*,3,1,陈*,郭*,1,3
A组(主赛程: 1-4名),479,半决赛,李*艺,罗*,3,1,李*艺,罗*,3,1
A组(主赛程: 1-4名),478,半决赛,任*青,罗*琪,3,1,罗*琪,任*青,1,3
A组(排位赛: 5-8名),482,5-8名排位赛,刘*霞,许*耕,3,1,刘*霞,许*耕,3,1
A组(排位赛: 5-8名),481,5-8名排位赛,黄*,冷*,3,0,黄*,冷*,3,0
A组(排位赛: 5-8名),488,5-6名排位赛,刘*霞,黄*,3,2,刘*霞,黄*,3,2
A组(排位赛: 5-8名),489,7-8名排位赛,冷*,许*耕,3,1,许*耕,冷*,1,3
A组(主赛程: 1-4名),491,季军争夺赛,罗*琪,罗*,3,1,罗*琪,罗*,3,1
A组(主赛程: 1-4名),490,决赛,李*艺,任*青,3,2,任*青,李*艺,2,3
B组(主赛程),524,决赛,冷*,赵*,3,1,冷*,赵*,3,1
